,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ireland,57.18331897,57.88557029,57.7066799,58.41966542,59.5550448,60.93513122,62.93584985,64.64374183,67.17729672,68.5317602,70.9042932,73.33493914,71.42628122,71.57109824,70.73787043,72.50839225,72.22101586,71.62851437,70.74921237,64.50260346,64.02969252,59.66209417,59.88295915,59.95299113,60.00890851,62.42532569
Italy,524.1152753,526.7684896,521.9832263,515.2500901,507.8783748,536.8234759,531.0627357,536.5221766,548.8191173,554.9638895,560.8875731,568.770745,568.5008985,584.283666,588.8202727,588.3140133,579.1663537,571.8999484,557.9902678,504.8500386,514.1367721,500.6064723,479.264537,449.5153211,432.5198431,442.7776159
Latvia,26.40787226,24.51853933,19.53960429,16.1242632,14.22346752,12.81031213,12.88860348,12.32691408,11.81379679,11.02527433,10.44447398,11.04280984,11.02824411,11.23556754,11.25120991,11.49292753,12.0342895,12.5355591,12.116267,11.41363375,12.57835093,11.80467237,11.70987818,11.64298753,11.54684635,11.6499313
Lithuania,48.44284903,50.47034191,30.94588656,24.82661172,23.41488341,22.44427265,23.43978456,22.9671445,23.92070354,21.18768158,19.67112829,20.50972554,20.92551657,21.12323122,21.97580913,23.20792539,23.50017138,25.63672246,24.65520866,20.0854473,20.92905031,21.51292177,21.41984669,20.16093059,20.10523811,20.34335231
Luxembourg,13.13750442,13.7921289,13.53148559,13.6627336,12.93588665,10.63489197,10.74398353,10.22166785,9.500378868,10.08007927,10.60830557,11.17512277,12.04343963,12.53449207,14.03392622,14.29913866,14.05020028,13.57123797,13.46661903,12.87129949,13.47701951,13.28867101,12.89969509,12.36925322,12.01034097,11.68294902
Malta,2.598860347,2.634106005,2.793040806,3.170397112,3.112549909,2.898475579,2.984576658,3.129907827,3.020843023,3.146331821,3.029469166,3.125552898,3.144525382,3.414797215,3.355298292,3.286968891,3.338314963,3.445614779,3.488333995,3.257548821,3.325580199,3.43368221,3.53985845,3.220595858,3.267493273,2.578872777
Netherlands,226.0604863,234.1757371,235.6387332,237.4772738,241.4568983,239.1772026,250.8184836,243.7775163,244.2709857,231.5275489,229.6764628,229.6402698,227.9575692,227.9966032,229.8465446,225.3631137,220.5321875,219.7120653,219.2723862,212.8489015,224.4519059,210.9768335,205.7414957,206.1420355,198.5011956,206.7126045
Poland,468.5070829,456.7195354,443.7846744,443.7162664,438.2146963,439.7042147,453.469895,444.5633781,413.4308687,402.2183971,391.3748941,390.3709939,380.4198734,394.2868763,399.1633238,399.8370423,414.4914601,415.0192304,407.8762781,389.9430499,408.4167073,407.8258591,400.5903896,397.0526901,384.676121,387.7328486
Portugal,61.13286323,62.93391679,67.40602701,66.02636448,67.08975062,71.6819725,69.28734198,72.60307203,77.49493998,85.59089346,84.52379449,84.07114189,88.15033873,83.21442137,86.59273852,88.60860555,84.00899178,81.8770077,79.33487488,75.92526923,72.12045374,71.06205419,69.1782831,67.34608413,67.38942931,72.0852137
Romania,247.0687394,203.7487181,187.9523279,178.6593127,175.0669691,181.7413585,184.1787512,172.1674365,152.5621246,134.8076492,140.5955023,147.6306618,146.2661088,150.9260062,149.6302852,146.8366526,148.311996,151.2527723,146.2365085,127.0221303,121.4025427,127.4324336,124.8210867,115.8893394,116.0381905,117.8100363
Slovakia,74.52797814,64.84563987,59.39720412,55.88070733,53.23015704,54.45984862,54.85067144,54.62423032,53.14766629,51.85847886,49.91080658,52.32293019,50.34151306,50.79296615,51.47536784,51.53622363,51.43883798,49.64818256,50.37585072,45.79606243,46.6929551,45.59178765,43.37261784,42.99875595,40.79722329,41.41509471
Slovenia,18.64357042,17.3136908,17.42343475,17.63609113,18.03694271,18.77818357,19.4457712,19.79997383,19.52883896,18.91325367,19.16187619,20.06404873,20.21816488,19.92959687,20.23856514,20.55905894,20.74349336,20.89846123,21.60192197,19.65107837,19.67639178,19.67990365,19.10667112,18.41397998,16.68250631,16.90595136
Spain,293.4494058,301.5483941,311.7927018,301.8842505,318.6336873,335.1680304,326.8925194,341.4828976,352.359492,379.7558751,395.7623721,393.3369333,411.3002167,419.1753084,436.299079,451.5834644,443.4337069,453.2250327,421.0754258,382.6949659,369.5647431,371.5278904,365.3971526,336.5192515,338.2764119,350.4032001
Sweden,72.99058561,72.84975,72.16109041,72.78032042,75.33186765,75.23455134,78.77303418,74.08009887,74.54812876,71.8673835,70.65234421,70.89685996,71.58153309,71.99355496,71.18182475,68.81003167,68.79815464,67.3445514,65.34819555,60.75555597,66.68951176,62.85534866,59.35593259,57.80626541,56.13409121,55.88580304
United Kingdom,809.0866629,818.4077964,799.8511328,781.3853366,771.777501,765.8027363,788.9377161,765.3524467,765.2761542,736.3305764,739.773177,742.6062557,722.0977702,730.0861722,729.8272579,724.4988631,719.953886,708.1314097,687.8568427,629.0092088,643.9312747,597.2670218,613.2343245,597.9344869,555.8473018,536.9017847
,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,Tg (million tonnes),,,,,,,,,,,,,,,,,,,,,,,,,
